rank	concept	char	languages	english
162	04253437-n	ع	127	soap
163	05526384-n	ร	127	penis
164	06952861-n	ц	127	Afrikaans
165	08907606-n	国	127	Indonesia
166	08949093-n	ר	127	Holland
167	08952190-n	ー	127	Hungary
168	08972521-n	飯	127	NZ
169	09011151-n	ל	127	Belarus
170	09075842-n	場	127	Georgia
171	10231515-n	ğ	127	king
172	01391351-a	น	126	small
173	02129165-n	車	126	lion
174	05600637-n	ι	126	face
175	06929742-n	ε	126	Chinese
176	08438533-n	ת	126	forest
177	08910668-n	れ	126	Iran
178	09247410-n	番	126	cloud
179	09436708-n	ב	126	sky
180	15237782-n	停	126	winter
181	02129289-v	ê	125	see
182	02416519-n	ン	125	goat
183	08792548-n	市	125	Israel
184	09189411-n	ú	125	Africa
185	14654954-n	ง	125	silver
186	08817630-n	מ	124	Bosnia
187	08982587-n	ة	124	Poland
188	09003284-n	è	124	USSR
189	09020961-n	อ	124	Tajikistan
190	15136147-n	ш	124	week
191	01674464-n	か	123	lizard
192	06929279-n	ю	123	Japanese
193	06944911-n	大	123	Czech
194	06969129-n	ş	123	Sanskrit
195	06970103-n	欠	123	Hindi
196	09033333-n	ν	123	Syria
197	09918248-n	中	123	child
198	02437136-n	田	122	camel
199	07859284-n	ã	122	sugar
200	07891726-n	な	122	wine
201	08716738-n	א	122	Cambodia
202	08764107-n	เ	122	Norway
203	08848731-n	下	122	Bangladesh
204	08999482-n	ق	122	South
205	09382990-n	く	122	the Pacific
206	10780632-n	部	122	wife
207	01895735-n	以	121	hide
208	06319293-n	地	121	name
209	06988057-n	新	121	Arabic
210	08720481-n	用	121	Chile
211	08776687-n	،	121	Ecuador
212	08993288-n	Y	121	Saudi
213	09022265-n	ج	121	Uzbekistan
214	13556893-n	り	121	smoke
215	02818832-n	ρ	120	bed
216	05254795-n	—	120	hair
217	06172789-n	σ	120	speechlore
218	07970406-n	נ	120	family
219	08665504-n	ら	120	town
220	08818444-n	κ	120	Slovenia
221	08984788-n	ก	120	Portugal
222	15019030-n	گ	120	sand
223	15236859-n	公	120	fall
224	06944720-n	き	119	Polish
225	08705397-n	다	119	Algeria
226	08913434-n	降	119	Iraq
227	09376198-n	も	119	ocean
228	02324045-n	的	118	rabbit
229	04284002-n	خ	118	spoon
230	06945569-n	不	118	Bulgarian
231	08757264-n	ф	118	Czech
232	08906374-n	이	118	Nepal
233	08968879-n	ש	118	Mongolia
234	09014979-n	川	118	Ukraine
235	09163192-n	使	118	Nam
236	14640434-n	文	118	hydrogen
237	14648100-n	東	118	oxygen
238	00973077-n	ม	117	war
239	01010862-a	ス	117	first
240	01846331-n	X	117	duck
241	01855672-n	ą	117	goose
242	02411705-n	ル	117	sheep
243	02898711-n	生	117	bridge
244	06944623-n	和	117	Ukrainian
245	08715390-n	野	117	Burma
246	08888676-n	Q	117	Ireland
247	08948346-n	一	117	Guyana
248	08979054-n	ø	117	Peru
249	09004068-n	人	117	Moscow
250	15227846-n	食	117	hour
251	00207366-r	آ	116	today
252	00370869-a	π	116	blue
253	06958836-n	さ	116	Hungarian
254	07196682-n	ك	116	question
255	07710616-n	ย	116	spud
256	08756884-n	小	116	Cyprus
257	09164561-n	ح	116	Yemen
258	05563770-n	는	115	arm
259	06320569-n	ς	115	verb
260	06926798-n	η	115	Turkish
261	06954925-n	炊	115	Swedish
262	07858978-n	行	115	honey
263	08848094-n	本	115	Bahrain
264	08965251-n	こ	115	Maldives
265	09014586-n	μ	115	Moldova
266	09160295-n	υ	115	Uruguay
267	15237044-n	長	115	spring
268	00021265-n	«	114	food
269	06286395-n	»	114	word
270	06929171-n	र	114	Korean
271	06939198-n	스	114	Indonesian
272	06969916-n	В	114	Urdu
273	08707917-n	あ	114	Angola
274	08778061-n	ト	114	Ethiopia
275	08852843-n	関	114	Bolivia
276	08955626-n	ա	114	South
277	08961402-n	っ	114	Luxembourg
278	08969291-n	ล	114	Morocco
279	15209413-n	米	114	month
280	02190166-n	أ	113	fly
281	03623556-n	ę	113	knife
282	05563266-n	پ	113	foot
283	06968343-n	С	113	Romanian
284	06970946-n	け	113	Bangla
285	06974127-n	任	113	Dari
286	07840804-n	副	113	egg
287	08717915-n	島	113	Cape
288	08719100-n	ص	113	Sri
289	08732116-n	=	113	Colombia
290	08750334-n	ส	113	Cuba
291	08978343-n	美	113	Paraguay
292	09013074-n	よ	113	Latvia
293	09013830-n	「	113	Lithuania
294	12433081-n	」	113	onion
295	14633206-n	क	113	carbon
296	01858441-n	府	112	swan
297	03613294-n	ם	112	key
298	06954048-n	ί	112	Danish
299	07929519-n	로	112	coffee
300	08963369-n	ა	112	Malaysia
301	08998560-n	에	112	Somalia
302	09020440-n	−	112	Kyrgyzstan
303	09416076-n	ま	112	rock
304	01816887-n	ი	111	parrot
305	02326432-n	П	111	hare
306	06937229-n	学	111	Vietnamese
307	08819397-n	ð	111	Greenland
308	08847268-n	‘	111	Bahamas
309	08852209-n	ด	111	Bhutan
310	08957381-n	ד	111	Lebanon
311	08959683-n	ラ	111	Libya
312	08960548-n	ห	111	Liechtenstein
313	09023118-n	š	111	Andorra
314	09161803-n	上	111	Venezuela
315	09275473-n	ק	111	Europe
316	10193967-n	ط	111	husband
317	01170052-v	ん	110	drink
318	01646941-a	ח	110	young
319	06972985-n	港	110	Nepali
320	08844557-n	프	110	Papua
321	08896092-n	ý	110	Brunei
322	08927186-n	方	110	Jordan
323	08945821-n	江	110	Gambia
324	08955082-n	å	110	DPRK
325	09012530-n	ท	110	Tallinn
326	09021503-n	하	110	Turkmenistan
327	11184092-n	?	110	Muhammad
328	13250542-n	ס	110	money
329	01621127-n	ค	109	owl
330	02858304-n	ต	109	boat
331	03816136-n	三	109	needle
332	06958255-n	根	109	Finnish
333	06980315-n	ว	109	Tamil
334	07644967-n	М	109	hen
335	08717209-n	长	109	Cameroon
336	08737041-n	ะ	109	Guatemala
337	08779149-n	秋	109	Fiji
338	08815046-n	ć	109	Rwanda
339	08920381-n	ע	109	Japan
340	08966239-n	을	109	Malta
341	08986905-n	シ	109	Qatar
342	09036452-n	う	109	Siam
343	09037133-n	つ	109	Tonga
344	09466280-n	省	109	world
345	11683989-n	銀	109	seed
346	13831176-n	щ	109	N
347	02118333-n	פ	108	fox
348	04373894-n	ど	108	sword
349	06936149-n	徳	108	Thai
350	07649854-n	め	108	meat
351	08850450-n	ג	108	Brussels
352	08946187-n	苏	108	Ghana
353	08961630-n	А	108	Macedonia
354	08973776-n	의	108	Nigeria
355	09037394-n	南	108	Tunisia
356	09043052-n	ט	108	Uganda
357	09195615-n	路	108	America
358	09270894-n	수	108	Earth
359	00354845-v	트	107	die
360	00479275-r	宇	107	tomorrow
361	01251128-a	한	107	cold
362	02129604-n	ě	107	tiger
363	06321702-n	現	107	adjective
364	06971605-n	ọ	107	Punjabi
365	07886849-n	ă	107	beer
366	07933274-n	是	107	tea
367	08737521-n	獻	107	Belize
368	08755214-n	Д	107	Barbados
369	08759013-n	や	107	Slovakia
370	08777544-n	原	107	Eritrea
371	08852389-n	入	107	Botswana
372	08929555-n	ป	107	Kuwait
373	08947319-n	ն	107	Guinea
374	08966820-n	時	107	Mauritania
375	08971025-n	ئ	107	Mozambique
376	09002814-n	ュ	107	Russia
377	09007723-n	λ	107	Russia
378	09044190-n	บ	107	United
379	09167101-n	ウ	107	Zimbabwe
380	15156187-n	[	107	yesterday
381	00993014-v	：	106	write
382	01662784-n	„	106	turtle
383	05546540-n	כ	106	neck
384	06939051-n	க	106	Malay
385	06987124-n	э	106	Hebrew
386	06994792-n	О	106	Zulu
387	07758680-n	ř	106	grape
388	08716219-n	家	106	Burundi
389	08738272-n	ј	106	El
390	08738820-n	名	106	Nicaragua
391	08762495-n	ż	106	Djibouti
392	08763193-n	]	106	Dominica
393	08763500-n	津	106	Equatorial
394	08945529-n	۱	106	Gabon
395	08959254-n	۲	106	Liberia
396	08975106-n	न	106	Oman
397	09029457-n	К	106	Sudan
398	09165613-n	위	106	Zambia
399	14639921-n	ό	106	helium
400	15165289-n	“	106	morning
401	02219486-n	佐	105	ant
402	02484322-n	ア	105	monkey
403	04197391-n	門	105	shirt
404	05581693-n	ś	105	nail
405	06939431-n	ศ	105	Javanese
406	08759420-n	Г	105	Benin
407	08958830-n	를	105	Lesotho
408	08967868-n	リ	105	Monaco
409	08973330-n	す	105	Niger
410	08981244-n	γ	105	Pinas
411	08995862-n	ё	105	Senegal
412	09161452-n	ր	105	Vatican
413	09211266-n	語	105	Australia
414	13963192-n	ї	105	life
415	01835496-v	έ	104	go
416	02430045-n	考	104	deer
417	04199027-n	フ	104	shoe
418	04401088-n	井	104	horn
419	06323612-n	萩	104	adverb
420	06974558-n	防	104	Kurdish
421	06987812-n	平	104	Amharic
422	07020895-n	۰	104	music
423	07734744-n	吉	104	mushroom
424	08739206-n	Р	104	Panama
425	08751494-n	第	104	Haiti
426	08817235-n	ư	104	Montenegro
427	08840374-n	&	104	Tuvalu
428	08896440-n	ñ	104	Burkina
429	08961970-n	ạ	104	Madagascar
430	08962610-n	ả	104	Malawi
431	08967484-n	ệ	104	Mauritius
432	08991491-n	ộ	104	Samoa
433	09030752-n	政	104	Suriname
434	13833375-n	歌	104	south
435	01811909-n	č	103	pigeon
436	04960729-n	র	103	white
437	06954183-n	가	103	Icelandic
438	06960778-n	主	103	Irish
439	06962600-n	ს	103	Latin
440	06967529-n	사	103	Catalan
441	06979957-n	加	103	Kannada
442	08988609-n	ე	103	Saint
443	08996483-n	ク	103	Seychelles
444	08997310-n	岩	103	S'pore
445	09031233-n	格	103	Swaziland
446	01433493-a	แ	102	deep
447	01579028-n	城	102	crow
448	01775535-v	作	102	love
449	02958343-n	צ	102	car
450	03046257-n	物	102	clock
451	03082979-n	ո	102	computer
452	05573602-n	通	102	knee
453	06980721-n	京	102	Telugu
454	06991004-n	在	102	Somali
455	07734017-n	δ	102	tomato
456	07818277-n	स	102	garlic
457	08168978-n	光	102	land
458	08710678-n	த	102	Bermuda
459	08718577-n	ช	102	Central
460	08759986-n	出	102	Togo
461	08956760-n	은	102	Laos
462	08965598-n	代	102	Mali
463	08997976-n	ά	102	Solomon
464	09160775-n	所	102	Vanuatu
465	09827683-n	Т	102	babe
466	10694258-n	म	102	teacher
467	12102133-n	参	102	grass
468	13152742-n	体	102	leaf
469	03001627-n	お	101	chair
470	04379243-n	え	101	table
471	05556943-n	油	101	gut
472	05560787-n	要	101	leg
473	08709704-n	豊	101	Antigua
474	08736107-n	있	101	Costa
475	08750151-n	位	101	Cuba
476	08752021-n	!	101	Dominican
477	08776435-n	त	101	East
478	08782319-n	Н	101	Greece
479	08840749-n	ן	101	Kiribati
480	08841483-n	合	101	Nauru
481	08896831-n	Е	101	Egypt
482	08946909-n	기	101	Grenada
483	11458314-n	%	101	fog
484	13125117-n	同	101	root
485	02139199-n	ന	100	bat
486	02169891-v	げ	100	listen
487	02368336-a	だ	100	sweet
488	02389559-n	戦	100	donkey
489	02742753-n	子	100	arrow
490	03028079-n	设	100	church
491	03354903-n	イ	100	flag
492	04956594-n	止	100	blee
493	06937348-n	Л	100	Khmer
494	06957896-n	พ	100	Estonian
495	08737716-n	高	100	Honduras
496	08756202-n	인	100	Trinidad
497	08792295-n	غ	100	Israel
498	08837048-n	ß	100	Micronesia
499	08848421-n	ե	100	Bahrain
500	08859173-n	集	100	Erin
501	08953151-n	史	100	Iceland
502	08968677-n	藤	100	Mongolia
503	08971914-n	Á	100	New
504	08996871-n	共	100	Sierra
505	10020890-n	建	100	doc
506	11473954-n	有	100	light
507	00007846-n	民	99	mortal
508	01123148-a	ի	99	good
509	02691156-n	ち	99	plane
510	06149484-n	芋	99	economics
511	06946199-n	陽	99	Lithuanian
512	06954303-n	わ	99	Norwegian
513	08276720-n	目	99	school
514	08730354-n	得	99	Taiwan
515	08733897-n	ή	99	Comoros
516	08753729-n	改	99	Jamaica
517	08915372-n	õ	99	Macedonia
518	08929243-n	Ö	99	Kuwait
519	08947772-n	委	99	Guinea-Bissau
520	08978161-n	ப	99	Palau
521	09403427-n	ம	99	rainbow
522	10285313-n	カ	99	boy
523	13834399-n	ض	99	west
524	00014742-v	드	98	sleep
525	00130518-s	ω	98	AM
526	00130701-s	î	98	PM
527	06895791-n	Ф	98	Esperanto
528	06942252-n	ర	98	Albanian
529	06980175-n	党	98	Malayalam
530	07601999-n	记	98	chocolate
531	07848338-n	輔	98	butter
532	08226699-n	ド	98	village
533	08720037-n	廃	98	Chad
534	08751317-n	న	98	Haiti
535	08756735-n	지	98	Cyprus
536	08986691-n	서	98	Qatar
537	09018848-n	จ	98	Georgia
538	09076421-n	đ	98	Georgia
539	13832355-n	ậ	98	east
540	00595630-v	ớ	97	know
541	01131803-a	ह	97	bad
542	01323958-v	定	97	kill
543	01729431-v	内	97	sing
544	02355227-n	研	97	squirrel
545	04574999-n	そ	97	wheel
546	05387544-n	タ	97	lung
547	05521111-n	マ	97	vagina
548	06746005-n	周	97	reply
549	06942699-n	Б	97	Armenian
550	06944820-n	元	97	Slovak
551	06966695-n	村	97	Basque
552	07110615-n	郡	97	voice
553	08708742-n	χ	97	Anguilla
554	08755436-n	勝	97	Barbados
555	08762823-n	으	97	Djibouti
556	08816236-n	谷	97	Serbia
557	08839092-n	ใ	97	Marshall
558	08844108-n	せ	97	New
559	08962187-n	見	97	Madagascar
560	08980300-n	რ	97	Philippines
561	08987423-n	成	97	Saint
562	08997487-n	ث	97	Singapore
563	08997801-n	У	97	Singapore
564	09029242-n	إ	97	Sudan
565	14627820-n	『	97	alumium
566	02062744-n	』	96	whale
567	04194289-n	べ	96	ship
568	05332802-n	他	96	kidney
569	06946355-n	य	96	Latvian
570	06961771-n	会	96	Breton
571	06971454-n	海	96	Gujarati
572	06971741-n	ल	96	Sinhala
573	07569106-n	ů	96	flour
574	08736517-n	ო	96	Côte
575	08748794-n	ō	96	Aruba
576	08752974-n	于	96	PR
577	08763010-n	住	96	Dominica
578	08960987-n	信	96	Luxembourg
579	08965055-n	兼	96	Maldives
580	08966408-n	拉	96	Malta
581	08967329-n	為	96	Mauritius
582	08992508-n	â	96	San
583	14655371-n	ィ	96	sodium
584	14881303-n	木	96	glass
585	15166462-n	白	96	evening
586	15234764-n	阿	96	minute
587	01482330-n	須	95	haye
588	01697178-n	ത	95	croc
589	01922303-n	യ	95	worm
590	05305806-n	용	95	lip
591	05768553-n	事	95	dream
592	06961557-n	当	95	Welsh
593	07541053-n	編	95	hope
594	08709399-n	ž	95	Cayman
595	08711300-n	味	95	Montserrat
596	08836886-n	되	95	Micronesia
597	08989031-n	리	95	Saint
598	08989697-n	州	95	French
599	08991182-n	理	95	Samoa
600	08996284-n	究	95	Seychelles
601	12937678-n	於	95	carrot
602	14631871-n	ύ	95	boron
603	14635722-n	*	95	copper
604	01772222-n	प	94	spider
605	01794158-n	キ	94	turkey
606	02834778-n	ツ	94	bike
607	03773035-n	レ	94	mirror
608	06325370-n	世	94	pronoun
609	06896304-n	柳	94	Interlingua
610	06927363-n	浦	94	Uzbek
611	06932435-n	祢	94	Burmese
612	06945473-n	豆	94	Macedonian
613	06995792-n	ъ	94	Swahili
614	08751126-n	త	94	Guadeloupe
615	08754814-n	じ	94	BVI
616	08838319-n	క	94	Guam
617	08838887-n	期	94	Marshall
618	08840200-n	英	94	Tuvalu
619	08977948-n	言	94	Palau
620	08988453-n	시	94	Saint
621	08991878-n	플	94	American
622	08998233-n	할	94	Solomon
623	10622053-n	ക	94	Tommy
624	13265011-n	ლ	94	gift
625	14769160-n	松	94	ash
626	00389310-a	系	93	gray
627	01944390-n	む	93	snail
628	03074855-n	ハ	93	comb
629	04096066-n	ヨ	93	road
630	05554405-n	割	93	tit
631	06971281-n	芳	93	Marathi
632	06978766-n	ù	93	Georgian
633	08841209-n	ษ	93	Nauru
634	08943242-n	어	93	Martinique
635	00625119-v	ى	92	read
636	01009240-v	化	92	say
637	01712704-v	都	92	do
638	01792158-n	ź	92	cock
639	01960911-v	โ	92	swim
640	02183857-n	料	92	louse
641	02200198-n	书	92	mosquito
642	02924116-n	员	92	bus
643	04981139-n	ட	92	sound
644	05599617-n	կ	92	chin
645	05602548-n	터	92	brow
646	06756831-n	台	92	lie
647	06828818-n	園	92	letter
648	06927007-n	水	92	Azeri
649	06928839-n	細	92	Mongolian
650	06939756-n	北	92	Filipino
651	06966190-n	ន	92	Occitan
652	07745940-n	西	92	strawberry
653	08718391-n	ల	92	Falkland
654	08748499-n	布	92	Netherlands
655	08752814-n	ज	92	Puerto
656	08835188-n	Ø	92	Norfolk
657	08992181-n	ক	92	San
658	09198106-n	國	92	Antarctica
659	14974264-n	ń	92	paper
660	15196186-n	É	92	Yule
661	01849221-v	ற	91	come
662	03383948-n	ব	91	fork
663	05313535-n	된	91	brow
664	05753564-n	라	91	education
665	06926889-n	오	91	Turkmen
666	06966454-n	²	91	Galician
667	06971123-n	Ж	91	Odia
668	06975132-n	소	91	Afghan
669	07747607-n	対	91	orange
670	09334396-n	隅	91	land
671	09470762-n	前	91	Venus
672	09536058-n	多	91	God
673	10098710-n	ご	91	foe
674	10142747-n	자	91	nan
675	02169702-v	ര	90	hear
676	02207206-v	間	90	buy
677	03147509-n	外	90	cup
678	03372029-n	育	90	flute
679	03788195-n	ז	90	mosque
680	04334599-n	ნ	90	street
681	05216365-n	일	90	body
682	05261566-n	მ	90	beard
683	05385534-n	타	90	liver
684	06267145-n	ợ	90	paper
685	06988913-n	ữ	90	Maltese
686	06994700-n	ự	90	Xhosa
687	08755003-n	ノ	90	U.S.
688	08837864-n	正	90	Northern
689	08970833-n	知	90	Western
690	09542339-n	麦	90	demon
691	12143676-n	ข	90	maize
692	12268246-n	み	90	oak
693	13970236-n	全	90	peace
694	14322699-n	獲	90	pain
695	14643793-n	ন	90	lithium
696	00372111-a	ர	89	brown
697	00757080-n	六	89	sin
698	00941990-v	分	89	talk
699	02159955-n	해	89	insect
700	02199590-v	დ	89	give
701	02980441-n	പ	89	castle
702	04092609-n	指	89	ring
703	04105893-n	व	89	room
704	05481095-n	ত	89	brain
705	05558717-n	є	89	back
706	06917280-n	고	89	Guarani
707	06939542-n	乡	89	Sundanese
708	06951067-n	厅	89	Yiddish
709	06955087-n	哲	89	Faroese
710	06997368-n	坡	89	Yoruba
711	08081668-n	房	89	faith
712	13984944-n	站	89	shadow
713	03259505-n	萨	88	home
714	03619890-n	資	88	kitchen
715	04108268-n	Ü	88	rope
716	04592741-n	ప	88	wing
717	05133107-n	প	88	length
718	06935594-n	브	88	Lao
719	06961122-n	រ	88	Gaelic
720	06970510-n	鹿	88	Bihari
721	07718472-n	द	88	cucumber
722	09538915-n	전	88	angel
723	10142391-n	コ	88	pops
724	00028270-n	ロ	87	time
725	00031820-v	初	87	laugh
726	01792640-n	判	87	hen
727	04468005-n	郷	87	train
728	05548840-n	士	87	shoulder
729	05585383-n	வ	87	frame
730	05984936-n	立	87	culture
731	06945095-n	그	87	Serbo-Croatian
732	06982697-n	제	87	Hausa
733	07966140-n	ව	87	society
734	08835875-n	常	87	Oceania
735	08932568-n	後	87	Paris
736	14656219-n	ذ	87	sulfur
737	00095280-a	崎	86	dead
738	01016436-a	広	86	second
739	01638438-a	श	86	old
740	02439033-n	普	86	giraffe
741	02876657-n	И	86	bottle
742	06927736-n	վ	86	Kirghiz
743	06993573-n	조	86	Kinyarwanda
744	07804323-n	۹	86	rice
745	08731423-n	문	86	Macau
746	08816969-n	클	86	Serbia
747	09223325-n	함	86	Black Sea
748	09440400-n	寺	86	South
749	10325013-n	න	86	hero
750	14644249-n	ッ	86	magnesium
751	00066191-v	メ	85	cry
752	01594372-n	万	85	swallow
753	01661091-n	切	85	reptile
754	01825237-v	少	85	want
755	02186153-n	մ	85	flea
756	02233338-n	స	85	cockroach
757	02551380-a	書	85	dry
758	03542333-n	З	85	hotel
759	04962784-n	ւ	85	red
760	06927486-n	구	85	Uighur
761	06969705-n	伊	85	Sindhi
762	06970784-n	者	85	Assamese
763	07749582-n	連	85	lemon
764	07753592-n	।	85	banana
765	09823502-n	益	85	aunt
766	14631295-n	等	85	beryllium
767	15235126-n	管	85	second
768	00040365-r	里	84	again
769	01431230-v	년	84	kiss
770	02879718-n	부	84	bow
771	03497657-n	వ	84	hat
772	04565375-n	θ	84	arm
773	05559256-n	چ	84	ass
774	06497459-n	적	84	alphabet
775	07583197-n	ბ	84	soup
776	08769645-n	տ	84	Berlin
777	09372504-n	স	84	North
778	14070360-n	정	84	rot
779	14646152-n	Х	84	neon
780	14686913-n	々	84	gas
781	15205532-n	び	84	century
782	00507716-r	ェ	83	yesterday
783	01896031-n	デ	83	plume
784	02801938-n	ニ	83	basket
785	04442831-n	パ	83	tobacco
786	05405324-n	ブ	83	tear
787	05567217-n	ム	83	thumb
788	05833840-n	ャ	83	idea
789	06174404-n	久	83	grammar
790	06499796-n	富	83	Cyrillic
791	07352190-n	混	83	wave
792	07574602-n	農	83	breakfast
793	07628870-n	錦	83	cake
794	07750872-n	蟲	83	apricot
795	10736091-n	>	83	uncle
796	11620673-n	昭	83	fir
797	14637507-n	대	83	fluorine
798	14917635-n	여	83	ink
799	00628491-v	ல	82	think
800	01643620-a	ল	82	old
801	02655135-v	മ	82	be
802	04148054-n	社	82	scissors
803	04202417-n	結	82	shop
804	05333467-n	ර	82	spleen
805	06933931-n	存	82	Tibetan
806	07305907-n	科	82	hell
807	07457126-n	ไ	82	Olympics
808	07707451-n	ရ	82	veg
809	08209687-n	业	82	police
810	08903049-n	即	82	New Delhi
811	10707804-n	历	82	thief
812	10794014-n	參	82	author
813	11524662-n	官	82	weather
814	14643467-n	從	82	lead
815	01894649-v	总	81	dance
816	01904930-v	爾	81	walk
817	01940403-v	盖	81	fly
818	02161432-a	蕨	81	weighty
819	02412440-n	资	81	lamb
820	04459362-n	體	81	towel
821	05289297-n	য	81	muscle
822	05579944-n	വ	81	elbow
823	06997486-n	ვ	81	Akan
824	07802026-n	래	81	hay
825	07849336-n	ச	81	yogurt
826	08050678-n	特	81	regime
827	08362917-n	언	81	republic
828	08632096-n	ô	81	Unknown
829	08724726-n	ぜ	81	Peking
830	08735705-n	ば	81	Central
831	08836630-n	サ	81	Melanesia
832	08841667-n	ジ	81	Polynesia
833	13969700-n	ワ	81	peace
834	00217728-a	収	80	fit
835	00428270-n	宮	80	dance
836	00503237-n	尾	80	chess
837	01579260-n	手	80	raven
838	01889520-n	歳	80	mole
839	02204692-v	玖	80	own
840	02242464-v	珂	80	sell
841	02398521-n	町	80	river horse
842	03219135-n	福	80	doll
843	03938244-n	称	80	pillow
844	04536866-n	覧	80	fiddle
845	05760202-n	코	80	memory
846	06122178-n	º	80	geography
847	06624161-n	თ	80	letter
